requestId,location,regionTier,keywordSet,day,placeCount,mealCount,beforeKm,afterKm,shortestKm,reductionPct,concessionKm,beforeKmPerLeg,afterKmPerLeg,beforeCrossings,afterCrossings,beforeBacktracks,afterBacktracks,beforeEndTime,afterEndTime
22,공주,MINOR,A,3,5,1,4.5439,3.0895,2.5226,32.01,0.5669,1.1360,0.7724,0,0,3,1,16:05,16:00
23,공주,MINOR,B,1,6,2,5.6582,4.6324,3.7278,18.13,0.9045,1.1316,0.9265,0,0,2,4,18:45,18:45
23,공주,MINOR,B,2,5,1,2.5646,2.3873,2.3873,6.91,0.0000,0.6412,0.5968,0,0,1,1,16:00,16:00
23,공주,MINOR,B,3,6,2,24.0390,16.2357,13.6970,32.46,2.5387,4.8078,3.2471,0,0,3,3,18:45,18:45
24,공주,MINOR,C,1,6,2,2.6759,1.9804,1.7439,25.99,0.2364,0.5352,0.3961,1,0,1,2,18:45,18:45
24,공주,MINOR,C,2,5,1,2.1846,2.1958,1.5114,-0.52,0.6844,0.5461,0.5490,2,0,3,1,16:40,16:40
24,공주,MINOR,C,3,6,2,7.2250,4.3510,3.5382,39.78,0.8128,1.4450,0.8702,1,0,3,1,18:45,18:45
25,통영,MINOR,A,1,6,2,1.4218,0.6468,0.6468,54.51,0.0000,0.2844,0.1294,2,0,3,1,18:45,18:45
25,통영,MINOR,A,2,6,2,6.7255,5.0624,4.3243,24.73,0.7380,1.3451,1.0125,1,0,4,1,18:45,18:45
25,통영,MINOR,A,3,6,2,7.5565,4.7972,3.9434,36.52,0.8538,1.5113,0.9594,3,1,3,3,19:15,20:05
26,통영,MINOR,B,1,6,2,4.5058,2.7455,2.5763,39.07,0.1692,0.9012,0.5491,1,0,3,2,18:45,18:45
26,통영,MINOR,B,2,5,1,25.5186,17.4874,16.3428,31.47,1.1446,6.3796,4.3719,2,0,2,1,15:55,15:35
26,통영,MINOR,B,3,4,0,7.2373,4.8256,4.8256,33.32,0.0000,2.4124,1.6085,1,0,2,0,14:20,14:15
27,통영,MINOR,C,1,6,2,2.2879,0.9500,0.9500,58.48,0.0000,0.4576,0.1900,5,0,4,1,18:45,20:00
27,통영,MINOR,C,2,6,2,8.3276,7.5873,6.9536,8.89,0.6337,1.6655,1.5175,0,0,2,2,18:45,18:45
27,통영,MINOR,C,3,5,1,5.4995,4.3714,4.3714,20.51,0.0000,1.3749,1.0929,0,0,2,1,18:45,17:15
28,삼척,MINOR,A,1,6,2,8.2786,4.7123,4.1827,43.08,0.5296,1.6557,0.9425,0,0,2,4,18:45,19:55
28,삼척,MINOR,A,2,6,2,6.3615,4.1309,3.8157,35.06,0.3152,1.2723,0.8262,0,0,1,2,18:45,18:45
28,삼척,MINOR,A,3,6,2,9.1581,5.2126,4.7664,43.08,0.4462,1.8316,1.0425,0,0,2,1,18:40,18:45
29,삼척,MINOR,B,1,6,2,6.9346,5.7875,4.6407,16.54,1.1468,1.3869,1.1575,0,1,1,2,18:45,19:45
29,삼척,MINOR,B,2,7,2,8.3864,4.7027,4.5234,43.93,0.1792,1.3977,0.7838,1,0,4,4,18:45,20:45
29,삼척,MINOR,B,3,6,2,97.1379,64.0071,50.5070,34.11,13.5001,19.4276,12.8014,0,0,3,2,20:40,20:30
30,삼척,MINOR,C,1,6,2,6.6843,3.8875,2.7955,41.84,1.0920,1.3369,0.7775,1,0,3,3,19:15,19:55
30,삼척,MINOR,C,2,6,2,6.4855,4.2453,3.7699,34.54,0.4754,1.2971,0.8491,0,0,2,3,18:45,18:45
30,삼척,MINOR,C,3,6,2,7.8516,4.8940,4.8940,37.67,0.0000,1.5703,0.9788,1,0,1,1,18:45,19:50
